term.id,-,term.name,term.units,term.synonyms,term.definition,term.subClassOf.0.id,term.hsCode,term.wikipedia,term.agrovoc,term.defaultProperties.0.term.id,term.defaultProperties.0.value,term.defaultProperties.0.description,term.defaultProperties.1.term.id,term.defaultProperties.1.value,term.defaultProperties.1.description,term.defaultProperties.2.term.id,term.defaultProperties.2.value,term.defaultProperties.2.description,term.defaultProperties.2.min,term.defaultProperties.2.max,term.defaultProperties.3.term.id,term.defaultProperties.3.value,term.defaultProperties.3.sd,term.defaultProperties.3.description,term.defaultProperties.3.min,term.defaultProperties.3.max,term.ecoinventReferenceProductId,lookups.0.name,lookups.0.value,lookups.0.dataState,lookups.1.name,lookups.1.value,lookups.1.dataState,lookups.2.name,lookups.2.value,lookups.2.dataState,lookups.3.name,lookups.3.value,lookups.3.source,lookups.3.dataState,lookups.4.name,lookups.4.value,lookups.4.source,lookups.4.dataState,lookups.5.name,lookups.5.value,lookups.5.source,lookups.5.dataState,lookups.6.name,lookups.6.value,lookups.6.source,lookups.6.dataState,lookups.7.name,lookups.7.value,lookups.7.dataState,lookups.8.name,lookups.8.value,lookups.8.dataState,lookups.9.name,lookups.9.value,lookups.9.dataState,lookups.10.name,lookups.10.value,lookups.10.dataState,lookups.11.name,lookups.11.value,lookups.11.dataState,lookups.12.name,lookups.12.value,lookups.12.dataState,lookups.13.name,lookups.13.value,lookups.13.dataState,lookups.14.name,lookups.14.value,lookups.14.dataState,lookups.15.name,lookups.15.value,lookups.15.dataState,lookups.16.name,lookups.16.value,lookups.16.dataState
brownCoalBriquettesBkb,brown Coal Briquettes Bkb,Brown coal briquettes (BKB),kg,-,-,-,2702.2,https://en.wikipedia.org/wiki/Briquette ,http://aims.fao.org/aos/agrovoc/c_24824 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sicCode,330,complete,cpcVersion2Code,11040,complete,ecoinventMapping,,missing,co2ToAirFuelCombustionEmepEea2019,,-,missing,n2oToAirFuelCombustionEmepEea2019,,-,missing,noxToAirFuelCombustionEmepEea2019,,-,missing,so2ToAirFuelCombustionEmepEea2019,,,missing,oilEqHierarchistFossilResourceScarcityReCiPe2016,0.22,complete,oilEqIndividualistFossilResourceScarcityReCiPe2016,0.22,complete,oilEqEgalitarianFossilResourceScarcityReCiPe2016,0.22,complete,usd2013HierarchistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013IndividualistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013EgalitarianDamageToResourceAvailabilityReCiPe2016,0.03,complete,sensitivityAlternativeTerms,anthracite;lignite;subBituminousCoal,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,abioticResourceDepletionFossilFuelsCml2001Baseline,TRUE,complete
coalTar,coal Tar,Coal tar,kg,-,-,-,2706,https://en.wikipedia.org/wiki/Coal_tar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://glossary.ecoinvent.org/ids/e7a17355-8575-4be4-8c51-85e38b19b3f3,sicCode,340,complete,cpcVersion2Code,33200,complete,ecoinventMapping,,missing,co2ToAirFuelCombustionEmepEea2019,,-,missing,n2oToAirFuelCombustionEmepEea2019,,-,missing,noxToAirFuelCombustionEmepEea2019,,-,missing,so2ToAirFuelCombustionEmepEea2019,,,missing,oilEqHierarchistFossilResourceScarcityReCiPe2016,-,not required,oilEqIndividualistFossilResourceScarcityReCiPe2016,-,not required,oilEqEgalitarianFossilResourceScarcityReCiPe2016,-,not required,usd2013HierarchistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013IndividualistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013EgalitarianDamageToResourceAvailabilityReCiPe2016,-,not required,sensitivityAlternativeTerms,anthracite;lignite;subBituminousCoal,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,abioticResourceDepletionFossilFuelsCml2001Baseline,TRUE,complete
cokeOvenGas,coke Oven Gas,Coke oven gas,m3,-,-,-,2705,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sicCode,350,complete,cpcVersion2Code,17200,complete,ecoinventMapping,,missing,co2ToAirFuelCombustionEmepEea2019,,-,missing,n2oToAirFuelCombustionEmepEea2019,,-,missing,noxToAirFuelCombustionEmepEea2019,,-,missing,so2ToAirFuelCombustionEmepEea2019,,,missing,oilEqHierarchistFossilResourceScarcityReCiPe2016,-,not required,oilEqIndividualistFossilResourceScarcityReCiPe2016,-,not required,oilEqEgalitarianFossilResourceScarcityReCiPe2016,-,not required,usd2013HierarchistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013IndividualistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013EgalitarianDamageToResourceAvailabilityReCiPe2016,-,not required,sensitivityAlternativeTerms,naturalGas;otherBiogasesFromAnaerobicFermentation;ethane,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,abioticResourceDepletionFossilFuelsCml2001Baseline,TRUE,complete
gasWorksGasAndOtherManufacturedGasesForDistribution,gas Works Gas And Other Manufactured Gases For Distribution,Gas works gas (and other manufactured gases for distribution),m3,-,-,-,2705,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://glossary.ecoinvent.org/ids/b254bbdf-fb2b-4878-aec9-2a7820f3f32e,sicCode,360,complete,cpcVersion2Code,17200,complete,ecoinventMapping,,missing,co2ToAirFuelCombustionEmepEea2019,,-,missing,n2oToAirFuelCombustionEmepEea2019,,-,missing,noxToAirFuelCombustionEmepEea2019,,-,missing,so2ToAirFuelCombustionEmepEea2019,,,missing,oilEqHierarchistFossilResourceScarcityReCiPe2016,-,not required,oilEqIndividualistFossilResourceScarcityReCiPe2016,-,not required,oilEqEgalitarianFossilResourceScarcityReCiPe2016,-,not required,usd2013HierarchistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013IndividualistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013EgalitarianDamageToResourceAvailabilityReCiPe2016,-,not required,sensitivityAlternativeTerms,naturalGas;otherBiogasesFromAnaerobicFermentation;ethane,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,abioticResourceDepletionFossilFuelsCml2001Baseline,TRUE,complete
blastFurnaceGas,blast Furnace Gas,Blast furnace gas,m3,-,-,-,2705,https://en.wikipedia.org/wiki/Blast_furnace_gas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://glossary.ecoinvent.org/ids/ae1d776c-5278-46c3-b80a-0c5dcc182c0f,sicCode,371,complete,cpcVersion2Code,17200,complete,ecoinventMapping,,missing,co2ToAirFuelCombustionEmepEea2019,,-,missing,n2oToAirFuelCombustionEmepEea2019,,-,missing,noxToAirFuelCombustionEmepEea2019,,-,missing,so2ToAirFuelCombustionEmepEea2019,,,missing,oilEqHierarchistFossilResourceScarcityReCiPe2016,-,not required,oilEqIndividualistFossilResourceScarcityReCiPe2016,-,not required,oilEqEgalitarianFossilResourceScarcityReCiPe2016,-,not required,usd2013HierarchistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013IndividualistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013EgalitarianDamageToResourceAvailabilityReCiPe2016,-,not required,sensitivityAlternativeTerms,naturalGas;otherBiogasesFromAnaerobicFermentation;ethane,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,abioticResourceDepletionFossilFuelsCml2001Baseline,TRUE,complete
basicOxygenSteelFurnaceGas,basic Oxygen Steel Furnace Gas,Basic oxygen steel furnace gas,m3,-,-,-,2705,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://glossary.ecoinvent.org/ids/aaa1fb85-4e0e-426e-808a-35987bd8d486,sicCode,372,complete,cpcVersion2Code,17200,complete,ecoinventMapping,,missing,co2ToAirFuelCombustionEmepEea2019,,-,missing,n2oToAirFuelCombustionEmepEea2019,,-,missing,noxToAirFuelCombustionEmepEea2019,,-,missing,so2ToAirFuelCombustionEmepEea2019,,,missing,oilEqHierarchistFossilResourceScarcityReCiPe2016,-,not required,oilEqIndividualistFossilResourceScarcityReCiPe2016,-,not required,oilEqEgalitarianFossilResourceScarcityReCiPe2016,-,not required,usd2013HierarchistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013IndividualistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013EgalitarianDamageToResourceAvailabilityReCiPe2016,-,not required,sensitivityAlternativeTerms,naturalGas;otherBiogasesFromAnaerobicFermentation;ethane,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,abioticResourceDepletionFossilFuelsCml2001Baseline,FALSE,complete
otherRecoveredGases,other Recovered Gases,Other recovered gases,m3,-,-,-,2705,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://glossary.ecoinvent.org/ids/8397cd58-0950-4853-ba0e-97ad2a279edb,sicCode,379,complete,cpcVersion2Code,17200,complete,ecoinventMapping,,missing,co2ToAirFuelCombustionEmepEea2019,,-,missing,n2oToAirFuelCombustionEmepEea2019,,-,missing,noxToAirFuelCombustionEmepEea2019,,-,missing,so2ToAirFuelCombustionEmepEea2019,,,missing,oilEqHierarchistFossilResourceScarcityReCiPe2016,-,not required,oilEqIndividualistFossilResourceScarcityReCiPe2016,-,not required,oilEqEgalitarianFossilResourceScarcityReCiPe2016,-,not required,usd2013HierarchistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013IndividualistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013EgalitarianDamageToResourceAvailabilityReCiPe2016,-,not required,sensitivityAlternativeTerms,naturalGas;otherBiogasesFromAnaerobicFermentation;ethane,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,abioticResourceDepletionFossilFuelsCml2001Baseline,FALSE,complete
otherCoalProducts,other Coal Products,Other coal products,kg,-,-,-,"2707, 2708.10,
2708.20, 2712.90",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sicCode,390,complete,cpcVersion2Code,"33500, 34540",complete,ecoinventMapping,,missing,co2ToAirFuelCombustionEmepEea2019,,-,missing,n2oToAirFuelCombustionEmepEea2019,,-,missing,noxToAirFuelCombustionEmepEea2019,,-,missing,so2ToAirFuelCombustionEmepEea2019,,,missing,oilEqHierarchistFossilResourceScarcityReCiPe2016,-,not required,oilEqIndividualistFossilResourceScarcityReCiPe2016,-,not required,oilEqEgalitarianFossilResourceScarcityReCiPe2016,-,not required,usd2013HierarchistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013IndividualistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013EgalitarianDamageToResourceAvailabilityReCiPe2016,-,not required,sensitivityAlternativeTerms,-,not required,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,abioticResourceDepletionFossilFuelsCml2001Baseline,TRUE,complete
sodPeat,sod Peat,Sod peat,kg,Peat,-,-,2703,https://en.wikipedia.org/wiki/Peat ,http://aims.fao.org/aos/agrovoc/c_5647  ,density,355,-,-,-,-,energyContentHigherHeatingValue,17,https://www.engineeringtoolbox.com/,-,-,-,-,-,-,-,-,-,sicCode,1110,complete,cpcVersion2Code,11050,complete,ecoinventMapping,,missing,co2ToAirFuelCombustionEmepEea2019,,-,missing,n2oToAirFuelCombustionEmepEea2019,,-,missing,noxToAirFuelCombustionEmepEea2019,,-,missing,so2ToAirFuelCombustionEmepEea2019,,,missing,oilEqHierarchistFossilResourceScarcityReCiPe2016,0.22,complete,oilEqIndividualistFossilResourceScarcityReCiPe2016,0.22,complete,oilEqEgalitarianFossilResourceScarcityReCiPe2016,0.22,complete,usd2013HierarchistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013IndividualistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013EgalitarianDamageToResourceAvailabilityReCiPe2016,0.03,complete,sensitivityAlternativeTerms,-,not required,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,abioticResourceDepletionFossilFuelsCml2001Baseline,FALSE,complete
milledPeat,milled Peat,Milled peat,kg,-,-,-,2703,-,-,density,355,-,-,-,-,energyContentHigherHeatingValue,17,https://www.engineeringtoolbox.com/,-,-,-,-,-,-,-,-,-,sicCode,1120,complete,cpcVersion2Code,11050,complete,ecoinventMapping,,missing,co2ToAirFuelCombustionEmepEea2019,,-,missing,n2oToAirFuelCombustionEmepEea2019,,-,missing,noxToAirFuelCombustionEmepEea2019,,-,missing,so2ToAirFuelCombustionEmepEea2019,,,missing,oilEqHierarchistFossilResourceScarcityReCiPe2016,0.22,complete,oilEqIndividualistFossilResourceScarcityReCiPe2016,0.22,complete,oilEqEgalitarianFossilResourceScarcityReCiPe2016,0.22,complete,usd2013HierarchistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013IndividualistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013EgalitarianDamageToResourceAvailabilityReCiPe2016,0.03,complete,sensitivityAlternativeTerms,-,not required,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,abioticResourceDepletionFossilFuelsCml2001Baseline,FALSE,complete
peatBriquettes,peat Briquettes,Peat briquettes,kg,-,-,-,2703,https://en.wikipedia.org/wiki/Briquette#Peat_briquettes,-,-,-,-,-,-,-,energyContentHigherHeatingValue,17,https://www.engineeringtoolbox.com/,-,-,-,-,-,-,-,-,-,sicCode,1210,complete,cpcVersion2Code,11050,complete,ecoinventMapping,,missing,co2ToAirFuelCombustionEmepEea2019,,-,missing,n2oToAirFuelCombustionEmepEea2019,,-,missing,noxToAirFuelCombustionEmepEea2019,,-,missing,so2ToAirFuelCombustionEmepEea2019,,,missing,oilEqHierarchistFossilResourceScarcityReCiPe2016,0.22,complete,oilEqIndividualistFossilResourceScarcityReCiPe2016,0.22,complete,oilEqEgalitarianFossilResourceScarcityReCiPe2016,0.22,complete,usd2013HierarchistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013IndividualistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013EgalitarianDamageToResourceAvailabilityReCiPe2016,0.03,complete,sensitivityAlternativeTerms,-,not required,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,abioticResourceDepletionFossilFuelsCml2001Baseline,FALSE,complete
otherPeatProducts,other Peat Products,Other peat products,kg,-,-,-,"2703, 2704,
2706, 2712.90",-,-,-,-,-,-,-,-,energyContentHigherHeatingValue,17,https://www.engineeringtoolbox.com/,-,-,-,-,-,-,-,-,-,sicCode,1220,complete,cpcVersion2Code,"11050, 33100, 33200, 33500",complete,ecoinventMapping,,missing,co2ToAirFuelCombustionEmepEea2019,,-,missing,n2oToAirFuelCombustionEmepEea2019,,-,missing,noxToAirFuelCombustionEmepEea2019,,-,missing,so2ToAirFuelCombustionEmepEea2019,,,missing,oilEqHierarchistFossilResourceScarcityReCiPe2016,0.22,complete,oilEqIndividualistFossilResourceScarcityReCiPe2016,0.22,complete,oilEqEgalitarianFossilResourceScarcityReCiPe2016,0.22,complete,usd2013HierarchistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013IndividualistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013EgalitarianDamageToResourceAvailabilityReCiPe2016,0.03,complete,sensitivityAlternativeTerms,-,not required,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,abioticResourceDepletionFossilFuelsCml2001Baseline,FALSE,complete
naturalGas,natural Gas,Natural gas,m3,-,-,-,"2711.11, 2711.21",https://en.wikipedia.org/wiki/Natural_gas,http://aims.fao.org/aos/agrovoc/c_5087 ,density,0.78,-,energyContentLowerHeatingValue,47.1,https://www.engineeringtoolbox.com/,energyContentHigherHeatingValue,40.675,Ecoinvent v2.0 2007,38.4,44.9,-,-,-,-,-,-,https://glossary.ecoinvent.org/ids/1570a766-fe08-427f-94cb-6947995117ec,sicCode,3000,complete,cpcVersion2Code,12020,complete,ecoinventMapping,"natural gas, liquefied, market for natural gas, liquefied: 1",requires validation,co2ToAirFuelCombustionEmepEea2019,,-,missing,n2oToAirFuelCombustionEmepEea2019,,-,missing,noxToAirFuelCombustionEmepEea2019,,-,missing,so2ToAirFuelCombustionEmepEea2019,,,missing,oilEqHierarchistFossilResourceScarcityReCiPe2016,0.84,complete,oilEqIndividualistFossilResourceScarcityReCiPe2016,0.84,complete,oilEqEgalitarianFossilResourceScarcityReCiPe2016,0.84,complete,usd2013HierarchistDamageToResourceAvailabilityReCiPe2016,0.3,complete,usd2013IndividualistDamageToResourceAvailabilityReCiPe2016,0.3,complete,usd2013EgalitarianDamageToResourceAvailabilityReCiPe2016,0.3,complete,sensitivityAlternativeTerms,naturalGas;otherBiogasesFromAnaerobicFermentation;ethane,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,abioticResourceDepletionFossilFuelsCml2001Baseline,TRUE,complete
conventionalCrudeOil,conventional Crude Oil,Conventional crude oil,kg,Crude oil; Petroleum,-,-,2709,https://en.wikipedia.org/wiki/Petroleum,http://aims.fao.org/aos/agrovoc/c_5747 ,density,846,-,energyContentLowerHeatingValue,43.2,Ecoinvent v2.0 2007,energyContentHigherHeatingValue,45.8,Ecoinvent v2.0 2007,-,-,-,-,-,-,-,-,https://glossary.ecoinvent.org/ids/e6aad2de-0b1b-49c3-a0c4-797ba34d87e5,sicCode,4100,complete,cpcVersion2Code,12010,complete,ecoinventMapping,,missing,co2ToAirFuelCombustionEmepEea2019,,-,missing,n2oToAirFuelCombustionEmepEea2019,,-,missing,noxToAirFuelCombustionEmepEea2019,,-,missing,so2ToAirFuelCombustionEmepEea2019,,,missing,oilEqHierarchistFossilResourceScarcityReCiPe2016,1,complete,oilEqIndividualistFossilResourceScarcityReCiPe2016,1,complete,oilEqEgalitarianFossilResourceScarcityReCiPe2016,1,complete,usd2013HierarchistDamageToResourceAvailabilityReCiPe2016,0.46,complete,usd2013IndividualistDamageToResourceAvailabilityReCiPe2016,0.46,complete,usd2013EgalitarianDamageToResourceAvailabilityReCiPe2016,0.46,complete,sensitivityAlternativeTerms,-,not required,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,abioticResourceDepletionFossilFuelsCml2001Baseline,TRUE,complete
naturalGasLiquidsNgl,natural Gas Liquids Ngl,Natural gas liquids (NGL),kg,Natural gas condensate,-,-,"2711.14, 2711.19, 2711.29",https://en.wikipedia.org/wiki/Natural-gas_condensate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://glossary.ecoinvent.org/ids/1570a766-fe08-427f-94cb-6947995117ec,sicCode,4200,complete,cpcVersion2Code,33420,complete,ecoinventMapping,"natural gas, liquefied, market for natural gas, liquefied: 1",requires validation,co2ToAirFuelCombustionEmepEea2019,,-,missing,n2oToAirFuelCombustionEmepEea2019,,-,missing,noxToAirFuelCombustionEmepEea2019,,-,missing,so2ToAirFuelCombustionEmepEea2019,,,missing,oilEqHierarchistFossilResourceScarcityReCiPe2016,-,not required,oilEqIndividualistFossilResourceScarcityReCiPe2016,-,not required,oilEqEgalitarianFossilResourceScarcityReCiPe2016,-,not required,usd2013HierarchistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013IndividualistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013EgalitarianDamageToResourceAvailabilityReCiPe2016,-,not required,sensitivityAlternativeTerms,-,not required,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,abioticResourceDepletionFossilFuelsCml2001Baseline,TRUE,complete
additivesAndOxygenates,additives And Oxygenates,Additives and oxygenates,kg,-,-,-,"2207.20, 2905.11, 2909.19, others",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sicCode,4400,complete,cpcVersion2Code,"34131, 34139, 34170, others",complete,ecoinventMapping,,missing,co2ToAirFuelCombustionEmepEea2019,,-,missing,n2oToAirFuelCombustionEmepEea2019,,-,missing,noxToAirFuelCombustionEmepEea2019,,-,missing,so2ToAirFuelCombustionEmepEea2019,,,missing,oilEqHierarchistFossilResourceScarcityReCiPe2016,-,not required,oilEqIndividualistFossilResourceScarcityReCiPe2016,-,not required,oilEqEgalitarianFossilResourceScarcityReCiPe2016,-,not required,usd2013HierarchistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013IndividualistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013EgalitarianDamageToResourceAvailabilityReCiPe2016,-,not required,sensitivityAlternativeTerms,-,not required,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,abioticResourceDepletionFossilFuelsCml2001Baseline,FALSE,complete
otherHydrocarbons,other Hydrocarbons,Other hydrocarbons,kg,-,-,-,"2709, 2804.10",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sicCode,4500,complete,cpcVersion2Code,"12010, 34210",complete,ecoinventMapping,,missing,co2ToAirFuelCombustionEmepEea2019,,-,missing,n2oToAirFuelCombustionEmepEea2019,,-,missing,noxToAirFuelCombustionEmepEea2019,,-,missing,so2ToAirFuelCombustionEmepEea2019,,,missing,oilEqHierarchistFossilResourceScarcityReCiPe2016,-,not required,oilEqIndividualistFossilResourceScarcityReCiPe2016,-,not required,oilEqEgalitarianFossilResourceScarcityReCiPe2016,-,not required,usd2013HierarchistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013IndividualistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013EgalitarianDamageToResourceAvailabilityReCiPe2016,-,not required,sensitivityAlternativeTerms,-,not required,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,abioticResourceDepletionFossilFuelsCml2001Baseline,TRUE,complete
refineryGas,refinery Gas,Refinery gas,m3,-,-,-,2711.29,-,-,-,-,-,energyContentLowerHeatingValue,50.3,Ecoinvent v2.0 2007,energyContentHigherHeatingValue,55.2,Ecoinvent v2.0 2007,-,-,-,-,-,-,-,-,-,sicCode,4610,complete,cpcVersion2Code,33420,complete,ecoinventMapping,,missing,co2ToAirFuelCombustionEmepEea2019,,-,missing,n2oToAirFuelCombustionEmepEea2019,,-,missing,noxToAirFuelCombustionEmepEea2019,,-,missing,so2ToAirFuelCombustionEmepEea2019,,,missing,oilEqHierarchistFossilResourceScarcityReCiPe2016,1.21,complete,oilEqIndividualistFossilResourceScarcityReCiPe2016,1.21,complete,oilEqEgalitarianFossilResourceScarcityReCiPe2016,1.21,complete,usd2013HierarchistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013IndividualistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013EgalitarianDamageToResourceAvailabilityReCiPe2016,-,not required,sensitivityAlternativeTerms,naturalGas;otherBiogasesFromAnaerobicFermentation;ethane,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,abioticResourceDepletionFossilFuelsCml2001Baseline,TRUE,complete
methane,methane,Methane,m3,-,-,-,-,https://en.wikipedia.org/wiki/Methane,http://aims.fao.org/aos/agrovoc/c_4784 ,density,0.716,-,energyContentLowerHeatingValue,50,https://www.engineeringtoolbox.com/,energyContentHigherHeatingValue,55.5,https://www.engineeringtoolbox.com/,-,-,-,-,-,-,-,-,-,sicCode,,missing,cpcVersion2Code,,missing,ecoinventMapping,,missing,co2ToAirFuelCombustionEmepEea2019,,-,missing,n2oToAirFuelCombustionEmepEea2019,,-,missing,noxToAirFuelCombustionEmepEea2019,,-,missing,so2ToAirFuelCombustionEmepEea2019,,,missing,oilEqHierarchistFossilResourceScarcityReCiPe2016,1.21,complete,oilEqIndividualistFossilResourceScarcityReCiPe2016,1.21,complete,oilEqEgalitarianFossilResourceScarcityReCiPe2016,1.21,complete,usd2013HierarchistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013IndividualistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013EgalitarianDamageToResourceAvailabilityReCiPe2016,-,not required,sensitivityAlternativeTerms,naturalGas;otherBiogasesFromAnaerobicFermentation;ethane,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,abioticResourceDepletionFossilFuelsCml2001Baseline,TRUE,complete
ethane,ethane,Ethane,m3,-,-,-,"2711.19, 2711.29",https://en.wikipedia.org/wiki/Ethane,http://aims.fao.org/aos/agrovoc/c_3b0a2042 ,density,1.83,-,energyContentLowerHeatingValue,47.8,https://www.engineeringtoolbox.com/,energyContentHigherHeatingValue,51.9,https://www.engineeringtoolbox.com/,-,-,-,-,-,-,-,-,https://glossary.ecoinvent.org/ids/88b55703-3dd1-44c5-8a55-3d89d5019e5d,sicCode,4620,complete,cpcVersion2Code,33420,complete,ecoinventMapping,,missing,co2ToAirFuelCombustionEmepEea2019,,-,missing,n2oToAirFuelCombustionEmepEea2019,,-,missing,noxToAirFuelCombustionEmepEea2019,,-,missing,so2ToAirFuelCombustionEmepEea2019,,,missing,oilEqHierarchistFossilResourceScarcityReCiPe2016,1.13,complete,oilEqIndividualistFossilResourceScarcityReCiPe2016,1.13,complete,oilEqEgalitarianFossilResourceScarcityReCiPe2016,1.13,complete,usd2013HierarchistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013IndividualistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013EgalitarianDamageToResourceAvailabilityReCiPe2016,-,not required,sensitivityAlternativeTerms,naturalGas;otherBiogasesFromAnaerobicFermentation;ethane,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,abioticResourceDepletionFossilFuelsCml2001Baseline,TRUE,complete
propane,propane,Propane,m3,-,-,-,-,https://en.wikipedia.org/wiki/Propane,http://aims.fao.org/aos/agrovoc/c_7f1733b4 ,density,1.7,-,energyContentLowerHeatingValue,46.4,https://www.engineeringtoolbox.com/,energyContentHigherHeatingValue,50.4,https://www.engineeringtoolbox.com/,-,-,-,-,-,-,-,-,https://glossary.ecoinvent.org/ids/3a0d77a5-6488-4977-966a-731350be864a,sicCode,,missing,cpcVersion2Code,,missing,ecoinventMapping,,missing,co2ToAirFuelCombustionEmepEea2019,,-,missing,n2oToAirFuelCombustionEmepEea2019,,-,missing,noxToAirFuelCombustionEmepEea2019,,-,missing,so2ToAirFuelCombustionEmepEea2019,,,missing,oilEqHierarchistFossilResourceScarcityReCiPe2016,1.1,complete,oilEqIndividualistFossilResourceScarcityReCiPe2016,1.1,complete,oilEqEgalitarianFossilResourceScarcityReCiPe2016,1.1,complete,usd2013HierarchistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013IndividualistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013EgalitarianDamageToResourceAvailabilityReCiPe2016,-,not required,sensitivityAlternativeTerms,naturalGas;otherBiogasesFromAnaerobicFermentation;ethane,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,abioticResourceDepletionFossilFuelsCml2001Baseline,TRUE,complete
